"Submit", "Изпрати"
"Submissions", "Постове"
"Account", "Профил"
"Name", "Име"
"VentsyslavVassilev", "ВЕНЦИ"
"Submissions", "Постове"
"Add Submission", "Нов пост"
"Post ID","Пост №"
"Names","Име и фамилия"
"Phone","Телефон"
"Age","Възраст"
"Email","Имейл"
"This submission no longer exists","Постът вече не съществува"
"New Submission","Създаване на пост"
"Unable to find a submission to delete.","Не откривам пост за изтриване"
"This submission no longer exists.","Постът вече не съществува."
"The submission has been saved.","Постът е записан"
"Save Submission","Запис"
"Delete Submission","Изтриване"
"Save and Continue Edit","Запис и продължаване"
"Submission Information","Информация за пост"
"The submission has been deleted.","Постът е изтрит."
