"--- Select object ---","--- choisir un objet ---"
"--- Select reason code ---","--- choisir une raison ---"
"--- Select state to simulate ---","--- Choisir l'état à simuler ---"
"-OR-","-OU-"
"""Amazon Pay"" button color","""Amazon Pay""-couleur bouton"
"""Amazon Pay"" button size","""Amazon Pay""-bouton taille"
"""Amazon Pay"" button type","""Amazon Pay""-bouton type"
"""Login with Amazon"" button color","""Connectez-vous avec Amazon""-couleur bouton"
"""Login with Amazon"" button size","""Connectez-vous avec Amazon""-bouton taille"
"""Login with Amazon"" button type","""Connectez-vous avec Amazon""-bouton type"
"%s API Call | %s","%s API Call | %s"
"* Required Fields","* Champs requis"
"... or enter your Amazon Payments account information manually","... ou saisissez vos informations de compte Amazon Payments manuellement"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"<span class=""close"">Click to reveal config for </span>%s","<span class=""close"">Cliquez pour afficher la configuration pour </span>%s"
"<span class=""close"">Click to reveal your </span>Amazon Seller Central config","<span class=""close"">Cliquez pour faire apparaître votre </span>configuration Amazon Seller Central"
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","<strong>Amazon Pay</strong> vous permet d'effectuer des achats rapidement et en toute sécurité. Vous pouvez régler vos achats sur notre site Web sans saisir à nouveau vos informations de paiement et coordonnées."
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","Avec <strong>Amazon Pay</strong> vous pouvez utiliser les adresses et les informations de payments enregistrées dans votre compte Amazon pour accomplir vos achats de façon sûre et rapide. En plus vous profitez de la garantie A-z."
"1 day","1 jour"
"1 hour","1 heure"
"10 minutes","10 minutes"
"12 hours","12 heures"
"14 days","14 jours"
"15 days","15 jours"
"15 minutes","15 minutes"
"2 days","2 jours"
"2 hours","2 heures"
"3 days","3 jours"
"30 days","30 jours"
"30 minutes","30 minutes"
"4 hours","4 heures"
"5 minutes","5 minutes"
"7 days","7 jours"
"8 hours","8 heures"
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","Une capture sur %s a été traité par Amazon Payments (%s). Le nouveau status est %s."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","Un remboursement de %s a été traité par Amazon Payments (%s). L'état affiche désormais la mention %s."
"Access Key ID","ID de clé d'accès"
"Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>","Les informations sur le compte se trouvent <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">ici</a>"
"Action","Action"
"Add New","Rajouter"
"Address widget height","Hauteur widget des adresses"
"Address widget width","Largeur widget des adresses"
"Allowed IPs (comma separated)","Adresses IP autorisé (séparé par virgule)"
"Allowed JavaScript Origins","Origines JavaScript autorisées"
"Allowed Return URLs","URL de renvoi autorisées"
"Amazon Cronjobs","Tâches Cron Amazon"
"Amazon logo","Logo Amazon"
"Amazon Order Reference ID: %s","Référence de la commande Amazon: %s"
"Amazon Order Reference ID: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>","Référence de la commande Amazon: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>"
"Amazon Pay","Amazon Pay"
"Amazon Pay (Sandbox)","Amazon Pay (Sandbox)"
"Amazon Pay and Login with Amazon","Amazon Pay et Connectez-vous avec Amazon"
"Amazon Pay and Login with Amazon settings","Configuration Amazon Pay et Connectez-vous avec Amazon"
"Amazon Pay API Call","Amazon Pay API Call"
"Amazon Pay API Calls","Amazon Pay API Calls"
"Amazon Pay Exception","Amazon Pay Exception"
"Amazon Pay Exception | %s","Amazon Pay Exception | %s"
"Amazon Pay Exceptions","Amazon Pay Exceptions"
"Amazon Payments Account","Compte Amazon Payments"
"Amazon Seller Central","Amazon Seller Central"
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","Une autorisation sur %s a été traité par Amazon Payments (%s). Le nouveau status est %s."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","Une commande sur %s a été traité par Amazon Payments (%s). Le nouveau status est %s."
"API Call details","détails appel API"
"Appearance Settings","Configuration apparence"
"Appearance Settings for Amazon Pay and Login with Amazon","Configuration avec Amazon Pay et Connectez-vous avec Amazon"
"Appearance Settings for standalone Amazon Pay","Configuration avec Amazon Pay uniquement"
"Asynchronous","Asynchrone"
"Authentication Experience","Idenfication"
"Authorization Processing Mode","Mode d'autorisation"
"Authorize","Autoriser"
"Authorize & capture","Autoriser & capture"
"Auto","Auto"
"Back","Retour"
"By selecting Login with Amazon, you will be asked to sign-in securely to your Amazon account without leaving the shop.","En sélectionnant Connectez-vous avec Amazon, vous serez invité à vous connecter de manière sécurisée à votre compte Amazon sans quitter la boutique."
"Choose your payment region and click to quick-register.","Choisissez votre région de paiement et cliquez pour une inscription rapide."
"Client ID","ID client"
"Cancel","Annuler"
"Code","Code"
"Common Appearance Settings","Configuration générale"
"Congratulations! Your Amazon Payments account settings seem to be OK.","Félicitations! Les paramètres de votre compte Amazon Payments semblent corrects."
"Copy your keys from Seller Central (JSON) and paste them here","Copiez vos clés depuis Seller Central (JSON) et collez-les ici"
"creativestyle Extensions","Extensions creativestyle"
"Dark gray","Gris foncé"
"Data polling frequency","Fréquence polling"
"Date","Date"
"Dear buyer, it looks like you already have an account in this shop. Please enter the password for your shop account here for once to make sure you are the authorized user of this account. We will not ask you for this anymore afterwards.","Cher acheteur, il semble que vous ayez déjà un compte dans cette boutique. Veuillez entrer le mot de passe de votre compte afin de nous assurer que vous êtes l'utilisateur autorisé de ce compte. Nous ne vous demanderons plus ces informations pour la suite."
"Debug data","Données de débogage"
"Declined Payment Email Sender","Expéditeur pour les emails de refus de payment"
"Declined Payment Email Template","Modèle email payment refusé"
"Developer Options","Options dévelopeurs"
"Display Language","Langue d'afficahge"
"Don't have a merchant account yet? Register here","Vous n'avez pas encore de compte marchand? Inscrivez-vous ici"
