"--- Select object ---","--- Objekt auswählen ---"
"--- Select reason code ---","--- Reason code auswählen ---"
"--- Select state to simulate ---","--- Simulationsstatus auswählen ---"
"-OR-","-ODER-"
"""Amazon Pay"" button color","""Amazon Pay""-Button Farbe"
"""Amazon Pay"" button size","""Amazon Pay""-Button Größe"
"""Amazon Pay"" button type","""Amazon Pay""-Button Typ"
"""Login with Amazon"" button color","""Login mit Amazon""-Button Farbe"
"""Login with Amazon"" button size","""Login mit Amazon""-Button Größe"
"""Login with Amazon"" button type","""Login mit Amazon""-Button Typ"
"%s API Call | %s","%s API Aufruf | %s"
"* Required Fields","* Pflichtfelder"
"... or enter your Amazon Payments account information manually","... oder geben Sie die Details zu Ihrem Amazon Payments Konto manuell ein"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Erweiterungen</div>"
"<span class=""close"">Click to reveal config for </span>%s","<span class=""close"">Hier klicken, um Ihre Konfiguration für </span>%s<span class=""close""> anzuzeigen</span>"
"<span class=""close"">Click to reveal your </span>Amazon Seller Central config","<span class=""close"">Hier klicken, um Ihre </span>Konfiguration für Amazon Seller Central<span class=""close""> anzuzeigen</span>"
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","Mit <strong>Amazon Pay</strong> können Sie die in Ihrem Amazon-Account hinterlegten Zahlungs- und Versandinformationen nutzen, um schnell und sicher einzukaufen."
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","Mit <strong>Amazon Pay</strong> können Sie die in Ihrem Amazon-Account hinterlegten Zahlungs- und Versandinformationen nutzen, um schnell und sicher einzukaufen. Zudem genießen Sie den Käuferschutz, den Amazon mit der A-bis-z-Garantie bietet."
"1 day","1 Tag"
"1 hour","1 Stunde"
"10 minutes","10 Minuten"
"12 hours","12 Stunden"
"14 days","14 Tage"
"15 days","15 Tage"
"15 minutes","15 Minuten"
"2 days","2 Tage"
"2 hours","2 Stunden"
"3 days","3 Tage"
"30 days","30 Tage"
"30 minutes","30 Minuten"
"4 hours","4 Stunden"
"5 minutes","5 Minuten"
"7 days","7 Tage"
"8 hours","8 Stunden"
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Belastung (Capture) über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Rückerstattung (Refund) über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"Access Key ID","Zugriffsschlüssel-ID"
"Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>","Kontoinformationen finden Sie <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">hier</a>"
"Action","Aktion"
"Add New","Neu hinzufügen"
"Address widget height","Höhe Addressbuchwidget"
"Address widget width","Breite Addressbuchwidget"
"Allowed IPs (comma separated)","Erlaubte IPs (Kommagetrennt)"
"Allowed JavaScript Origins","Zulässige JavaScript-Ursprünge"
"Allowed Return URLs","Zulässige Rückgabe-URLs"
"Amazon Cronjobs","Amazon-Cronjobs"
"Amazon logo","Amazon-Logo"
"Amazon Order Reference ID: %s","Amazon Bestellreferenz: %s"
"Amazon Order Reference ID: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>","Amazon Bestellreferenz: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>"
"Amazon Pay","Amazon Pay"
"Amazon Pay (Sandbox)","Amazon Pay (Sandbox)"
"Amazon Pay and Login with Amazon","Amazon Pay und Login mit Amazon"
"Amazon Pay and Login with Amazon settings","Einstellungen für Amazon Pay und Login mit Amazon"
"Amazon Pay API Call","Amazon Pay API Aufruf"
"Amazon Pay API Calls","Amazon Pay API Aufrufe"
"Amazon Pay Exception","Amazon Pay Exception"
"Amazon Pay Exception | %s","Amazon Pay Exception | %s"
"Amazon Pay Exceptions","Amazon Pay Exceptions"
"Amazon Payments Account","Amazon Payments Konto"
"Amazon Seller Central","Amazon Seller Central"
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Autorisierung über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Bestellung über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
