"--- Select object ---","--- Seleziona oggetto ---"
"--- Select reason code ---","--- Seleziona codice motivo ---"
"--- Select state to simulate ---","--- Seleziona stato da simulare ---"
"-OR-","-O-"
"""Amazon Pay"" button color","Colore pulsante-""Amazon Pay"""
"""Amazon Pay"" button size","Dimensione pulsante-""Amazon Pay"""
"""Amazon Pay"" button type","Tipo pulsante-""Amazon Pay"""
"""Login with Amazon"" button color","Colore pulsante-""Accedi con Amazon"""
"""Login with Amazon"" button size","Dimensione pulsante-""Accedi con Amazon"""
"""Login with Amazon"" button type","Tipo pulsante-""Accedi con Amazon"""
"%s API Call | %s","%s Chiamata API | %s"
"* Required Fields","* Campi obbligatori"
"... or enter your Amazon Payments account information manually","... o inserisci manualmente i dati del tuo conto Amazon Payments"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">Estensioni creativestyle</div>"
"<span class=""close"">Click to reveal config for </span>%s","<span class=""close"">Clicca per rivelare la configurazione di </span>%s"
"<span class=""close"">Click to reveal your </span>Amazon Seller Central config","<span class=""close"">Clicca per rivelare la tua </span>configurazione di Amazon Seller Central"
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","<strong>Amazon Pay</strong> ti aiuta a fare acquisti in modo rapido e sicuro. Puoi pagare sul nostro sito web senza dover inserire nuovamente i tuoi dati."
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","<strong>Amazon Pay</strong> ti aiuta a fare acquisti in modo rapido e sicuro. Puoi pagare sul nostro sito web senza dover inserire nuovamente i tuoi dati. Tutte le transazioni Amazon sono protette dalla garanzia dalla A alla Z di Amazon."
"1 day","1 giorno"
"1 hour","1 ora"
"10 minutes","10 minuti"
"12 hours","12 ore"
"14 days","14 giorni"
"15 days","15 giorni"
"15 minutes","15 minuti"
"2 days","2 giorni"
"2 hours","2 ore"
"3 days","3 giorni"
"30 days","30 giorni"
"30 minutes","30 minuti"
"4 hours","4 ore"
"5 minutes","5 minuti"
"7 days","7 giorni"
"8 hours","8 ore"
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","Un'acquisizione di %s è stata elaborata da Amazon Payments (%s). Il nuovo stato è %s."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","Un rimborso di %s è stato elaborato da Amazon Payments (%s). Il nuovo stato è %s."
"Access Key ID","ID della chiave di accesso"
"Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>","Le informazioni sul conto sono disponibili <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">qui</a>"
"Action","Azione"
"Add New","Aggiungi nuovo"
"Address widget height","Altezza widget indirizzo"
"Address widget width","Larghezza widget indirizzo"
"Allowed IPs (comma separated)","IP consentiti (separati da virgola)"
"Allowed JavaScript Origins","Sorgenti JavaScript consentite"
"Allowed Return URLs","URL restituiti consentiti"
"Amazon Cronjobs","Cron job Amazon"
"Amazon logo","Logo Amazon"
"Amazon Order Reference ID: %s","N. di riferimento ordine Amazon: %s"
"Amazon Order Reference ID: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>","N. di riferimento ordine Amazon: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>"
"Amazon Pay","Amazon Pay"
"Amazon Pay (Sandbox)","Amazon Pay (Sandbox)"
